flow_id,timestamp,datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type 
0000000000000002 1 10.0.0.2 38684 10.0.0.7 5201,1599139047,0000000000000002,10.0.0.2,38684,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38684,1599139047,0000000000000002,10.0.0.7,5201,10.0.0.2,38684,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38684,1599139047,0000000000000001,10.0.0.7,5201,10.0.0.2,38684,6,-1,-1
0000000000000001 3 10.0.0.4 39800 10.0.0.7 5201,1599139048,0000000000000001,10.0.0.4,39800,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39800 10.0.0.7 5201,1599139048,0000000000000002,10.0.0.4,39800,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39800,1599139048,0000000000000002,10.0.0.7,5201,10.0.0.4,39800,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39800,1599139048,0000000000000001,10.0.0.7,5201,10.0.0.4,39800,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39800,1599139048,0000000000000002,10.0.0.7,5201,10.0.0.4,39800,6,-1,-1
0000000000000001 2 10.0.0.3 45042 10.0.0.7 5201,1599139067,0000000000000001,10.0.0.3,45042,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45042 10.0.0.7 5201,1599139067,0000000000000002,10.0.0.3,45042,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45042,1599139067,0000000000000002,10.0.0.7,5201,10.0.0.3,45042,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45042,1599139067,0000000000000001,10.0.0.7,5201,10.0.0.3,45042,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45042,1599139067,0000000000000001,10.0.0.7,5201,10.0.0.3,45042,6,-1,-1
0000000000000001 1 10.0.0.2 38690 10.0.0.7 5201,1599139067,0000000000000001,10.0.0.2,38690,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38690 10.0.0.7 5201,1599139067,0000000000000002,10.0.0.2,38690,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38690,1599139067,0000000000000002,10.0.0.7,5201,10.0.0.2,38690,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38690,1599139067,0000000000000001,10.0.0.7,5201,10.0.0.2,38690,6,-1,-1
0000000000000001 3 10.0.0.4 39806 10.0.0.7 5201,1599139068,0000000000000001,10.0.0.4,39806,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39806 10.0.0.7 5201,1599139068,0000000000000002,10.0.0.4,39806,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39806,1599139068,0000000000000002,10.0.0.7,5201,10.0.0.4,39806,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39806,1599139068,0000000000000001,10.0.0.7,5201,10.0.0.4,39806,6,-1,-1
0000000000000001 2 10.0.0.3 45048 10.0.0.7 5201,1599139087,0000000000000001,10.0.0.3,45048,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45048 10.0.0.7 5201,1599139087,0000000000000002,10.0.0.3,45048,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45048,1599139087,0000000000000002,10.0.0.7,5201,10.0.0.3,45048,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45048,1599139087,0000000000000001,10.0.0.7,5201,10.0.0.3,45048,6,-1,-1
0000000000000001 1 10.0.0.2 38696 10.0.0.7 5201,1599139087,0000000000000001,10.0.0.2,38696,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38696 10.0.0.7 5201,1599139087,0000000000000002,10.0.0.2,38696,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38696,1599139087,0000000000000002,10.0.0.7,5201,10.0.0.2,38696,6,-1,-1
